"PORT","COUNTRY","ISEU","LOCODE","LAT","LON","PORT_CALL count"
"Nakskov","DK",1,"DKNAK",54.830507,11.12711667,6
"Oristano","IT",1,"ITQOS",39.862555,8.552942,6
"Port Esquivel","JM",0,"JMPEV",NA,NA,6
"Port Gentil Oil Terminal","GA",0,"GAPOG",NA,NA,6
"Port-Vendres","FR",1,"FRPOV",42.51861,3.109408333,6
"Puerto Castilla","HN",0,"HNPCA",NA,NA,6
"Puerto Marin","ES",1,"ESMPG",42.40265,-8.697166667,6
"Qeshm Island","IR",0,"IRQSH",NA,NA,6
"Roenne","DK",1,"DKRNN",55.09864833,14.68818,6
"Roervik","NO",0,"NORVK",64.85932,11.23762333,6
"Torrevieja","ES",1,"ESTOR",37.97023,-0.6865109,6
"Visby","SE",1,"SEVBY",57.637487,18.284765,6
"Yokosuka","JP",0,"JPYOS",35.291095,139.6885,6
"Zarzis","TN",0,"TNZRZ",33.48127833,11.12177167,6
"Bonny","NG",0,"NGBON",4.4394675,7.151578333,5
"Buffalo","US",0,"USBUF",42.86173,-78.8695575,5
"Donghaizhen","CN",0,"CNDNG",NA,NA,5
"El Arish","EG",0,"EGAAC",NA,NA,5
"Erie","US",0,"USERI",42.1411,-80.08661667,5
"Hirtshals","DK",1,"DKHIR",57.59538333,9.97185,5
"Hobart","AU",0,"AUHBA",NA,NA,5
"Holbak","DK",1,"DKHBK",NA,NA,5
"Holyhead","GB",1,"GBHLY",53.32783333,-4.6165,5
"Hopewell","US",0,"",37.062025,-76.7790575,5
"Juneau","US",0,"USJNU",58.37418333,-134.6589333,5
"Ketapang","ID",0,"IDKTG",NA,NA,5
"Kish Island","IR",0,"IRKIH",26.54769,53.99715,5
"Komatsushima","JP",0,"JPKOM",NA,NA,5
"Korsakov","RU",0,"RUKOR",NA,NA,5
"Lorain","US",0,"USLOR",41.47126667,-82.18217833,5
"Lulea","SE",1,"SELLA",65.57445667,22.169815,5
"Mongstad","NO",0,"NOMON",60.79416,5.069428333,5
"Nyugawa","JP",0,"JPNWA",NA,NA,5
"Olbia","IT",1,"ITOLB",40.92746833,9.535206667,5
"Port Latta","AU",0,"AUPLA",-40.8339,145.3894833,5
"Port Louis","MU",0,"MUPLU",-20.15,57.4915,5
"Reni","UA",0,"UARNI",45.4164,28.287875,5
"Scheveningen","NL",1,"NLSCE",52.102,4.258,5
"Sirri island","IR",0,"IRSXI",25.897,54.5545,5
"Sulina","RO",1,"ROSUL",45.17518,29.382225,5
"Tazerka Terminal","TN",0,"TNTAT",36.75386667,11.794465,5
"Tianjigang","CN",0,"",21.58718417,108.4738008,5
"Warri","NG",0,"NGWAR",5.511995,5.719821667,5
"Yunyao","CN",0,"",37.54774167,122.0913867,5
"Zhangzhou","CN",0,"CNZZU",24.41093,118.0476,5
"Antibes","FR",1,"FRANT",43.5864,7.1266285,4
"Bayside Harbour","CA",0,"CABAY",NA,NA,4
"Diamante","AR",0,"ARDME",NA,NA,4
"Dung Quat","VN",0,"VNDQT",15.41290167,108.7951183,4
"Fuzhou","CN",0,"CNFOC",NA,NA,4
"Harlingen","NL",1,"NLHAR",53.32182667,5.147001667,4
"Jinguzhou","CN",0,"CNJGU",NA,NA,4
"Kharg Island","IR",0,"IRKHK",29.242018,50.333035,4
"Kurihama","JP",0,"JPKRH",35.22279333,139.7177408,4
